"measure","current_purpose","expression_sample","replacement_description"
"meas.ai_score_kpi1","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_ai_score_name].","VAR _name   = MAX(metadata_heatmap_items[heatmap_kpi1_ai_score_name])","Returns the AI model score configured for KPI 1 in heatmap metadata."
"meas.ai_score_kpi2","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_ai_score_name].","VAR _name   = MAX(metadata_heatmap_items[heatmap_kpi2_ai_score_name])","Returns the AI model score configured for KPI 2 in heatmap metadata."
"meas.calc_hyp1_kpi1_denominator","Returns a value derived from ssr_history[step_name].","VAR _total_acct_count = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 1 KPI 1 scoring."
"meas.calc_hyp1_kpi1_denominator_count","Returns a value derived from ssr_history[step_name].","VAR _total_acct_count = CALCULATETABLE(","Helper measure that counts records used in the denominator component of Hypothesis 1 KPI 1 scoring."
"meas.calc_hyp1_kpi1_nominator","Returns a value derived from quality_buckets[bucket] and ssr_history[step_name].","VAR _tot_bkt_count = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 1 KPI 1 scoring."
"meas.calc_hyp1_kpi2_denominator","Returns a value derived from quality_buckets[bucket].","VAR _low_time_count = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 1 KPI 2 scoring."
"meas.calc_hyp1_kpi2_denominator_count","Returns a value derived from ssr_history[step_name] and quality_buckets[bucket].","var filtered_tbl = CALCULATETABLE(","Helper measure that counts records used in the denominator component of Hypothesis 1 KPI 2 scoring."
"meas.calc_hyp1_kpi2_nominator","Returns a value derived from quality_buckets[bucket].","VAR _high_time_count = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 1 KPI 2 scoring."
"meas.calc_hyp10_kpi1_denominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Helper measure that calculates the denominator component used in Hypothesis 10 KPI 1 scoring."
"meas.calc_hyp10_kpi1_denominator_count","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Helper measure that counts records used in the denominator component of Hypothesis 10 KPI 1 scoring."
"meas.calc_hyp10_kpi1_nominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Helper measure that calculates the numerator component used in Hypothesis 10 KPI 1 scoring."
"meas.calc_hyp10_kpi2_denominator","Returns the measure value from its DAX expression.","1","Helper measure that calculates the denominator component used in Hypothesis 10 KPI 2 scoring."
"meas.calc_hyp10_kpi2_nominator","Returns a value derived from ssr_history[step_success_prob] and ssr_history[opp_sale_type].","var res =  CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 10 KPI 2 scoring."
"meas.calc_hyp10_kpi2_nominator_count","Returns a value derived from ssr_history[step_name] and ssr_history[opp_sale_type].","var rep_tbl =  CALCULATETABLE(","Helper measure that counts records used in the numerator component of Hypothesis 10 KPI 2 scoring."
"meas.calc_hyp11_kpi1_denominator","Returns the measure value from its DAX expression.","CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 11 KPI 1 scoring."
"meas.calc_hyp11_kpi1_nominator","Returns the measure value from its DAX expression.","CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 11 KPI 1 scoring."
"meas.calc_hyp11_kpi1_nominator_count","Returns a value derived from ssr_history[step_name].","var filter_tbl = CALCULATETABLE(","Helper measure that counts records used in the numerator component of Hypothesis 11 KPI 1 scoring."
"meas.calc_hyp11_kpi2_denominator","Returns a value derived from ssr_history[stkhlds_all_adj_dur] and ssr_history[step_name].","var dur = calculate(","Helper measure that calculates the denominator component used in Hypothesis 11 KPI 2 scoring."
"meas.calc_hyp11_kpi2_nominator","Returns a value derived from ssr_history[stkhlds_all_adj_dur] and ssr_history[step_name].","var dur = calculate(","Helper measure that calculates the numerator component used in Hypothesis 11 KPI 2 scoring."
"meas.calc_hyp11_kpi2_nominator_count","Returns a value derived from ssr_history[step_name].","var rep_tbl = CALCULATETABLE(","Helper measure that counts records used in the numerator component of Hypothesis 11 KPI 2 scoring."
"meas.calc_hyp12_kpi1_denominator","Returns a value derived from ssr_history[step_name].","CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 12 KPI 1 scoring."
"meas.calc_hyp12_kpi1_denominator_count","Returns a value derived from ssr_history[_sys_doc_id] and ssr_history[step_name].","CALCULATE(","Helper measure that counts records used in the denominator component of Hypothesis 12 KPI 1 scoring."
"meas.calc_hyp12_kpi1_nominator","Returns a value derived from ssr[_sys_doc_id] and ssr[trueai_churned_on].","CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 12 KPI 1 scoring."
"meas.calc_hyp12_kpi2_denominator","Returns a value derived from ssr[_sys_doc_id] and ssr[trueai_churned_on].","var _max_date = [meas.context_date_max]","Helper measure that calculates the denominator component used in Hypothesis 12 KPI 2 scoring."
"meas.calc_hyp12_kpi2_denominator_count","Returns a value derived from ssr[_sys_filt_start_date] and ssr[trueai_first_purchase].","var _min_date =  MAX(date(2000,01,01) ,  min(ssr[_sys_filt_start_date]))            // get the coid min date","Helper measure that counts records used in the denominator component of Hypothesis 12 KPI 2 scoring."
"meas.calc_hyp12_kpi2_nominator","Returns a value derived from ssr[_sys_doc_id] and ssr[trueai_churned_on].","var _max_date = [meas.context_date_max]","Helper measure that calculates the numerator component used in Hypothesis 12 KPI 2 scoring."
"meas.calc_hyp13_kpi1_denominator","Returns the measure value from its DAX expression.","var _churn_accts = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 13 KPI 1 scoring."
"meas.calc_hyp13_kpi1_nominator","Returns a value derived from ssr_history[step_name].","CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 13 KPI 1 scoring."
"meas.calc_hyp13_kpi1_nominator_count","Returns a value derived from cal_end_dates[Date] and ssr[trueai_first_purchase].","CALCULATE(","Helper measure that counts records used in the numerator component of Hypothesis 13 KPI 1 scoring."
"meas.calc_hyp13_kpi2_denominator","Returns the measure value from its DAX expression.","var churned_amt = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 13 KPI 2 scoring."
"meas.calc_hyp13_kpi2_nominator","Returns the measure value from its DAX expression.","CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 13 KPI 2 scoring."
"meas.calc_hyp13_kpi2_nominator_count","Returns a value derived from cal_end_dates[Date] and ssr[trueai_first_purchase].","CALCULATE(","Helper measure that counts records used in the numerator component of Hypothesis 13 KPI 2 scoring."
"meas.calc_hyp14_kpi1_denominator","Returns a value derived from users_history[trueai_user_role_function] and users_history[ci_time_alloc_tot].","var rep_time_tbl = CALCULATETABLE(","Helper measure that calculates the denominator component used in Hypothesis 14 KPI 1 scoring."
"meas.calc_hyp14_kpi1_nominator","Returns a value derived from users_history[trueai_user_role_function] and users_history[ci_time_alloc_tot].","var rep_time_tbl = CALCULATETABLE(","Helper measure that calculates the numerator component used in Hypothesis 14 KPI 1 scoring."
"meas.calc_hyp14_kpi1_nominator_count","Returns a value derived from users_history[_sys_user_id] and users_history[trueai_user_role_function].","var res = CALCULATE(","Helper measure that counts records used in the numerator component of Hypothesis 14 KPI 1 scoring."
"meas.calc_hyp14_kpi2_denominator","Returns a value derived from users_history[ci_time_alloc_post_sales] and users_history[trueai_user_role_function].","var post_sales = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 14 KPI 2 scoring."
"meas.calc_hyp14_kpi2_nominator","Returns a value derived from users_history[ci_time_alloc_prospecting] and users_history[trueai_user_role_function].","var prospec = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 14 KPI 2 scoring."
"meas.calc_hyp15_kpi1_denominator","Returns a value derived from users_history[trueai_user_role_function] and users_history[col.ci.perf_annual_performance_tier].","var res = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 15 KPI 1 scoring."
"meas.calc_hyp15_kpi1_denominator_count","Returns a value derived from users_history[_sys_filt_start_date] and users_history[trueai_user_role_function].","var fromDate =[meas.context_date_min]","Helper measure that counts records used in the denominator component of Hypothesis 15 KPI 1 scoring."
"meas.calc_hyp15_kpi1_nominator","Returns a value derived from users_history[trueai_user_role_function] and users_history[col.ci.perf_annual_performance_tier].","var res = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 15 KPI 1 scoring."
"meas.calc_hyp15_kpi2_denominator","Returns a value derived from users_history[trueai_user_role] and users_history[col.ci.perf_annual_performance_tier].","var res = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 15 KPI 2 scoring."
"meas.calc_hyp15_kpi2_nominator","Returns a value derived from users_history[trueai_user_role] and users_history[col.ci.perf_annual_performance_tier].","var res = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 15 KPI 2 scoring."
"meas.calc_hyp16_kpi1_denominator","Returns a value derived from companies_history[_sys_as_of] and users_history[_sys_user_id].","var fromDate = [meas.context_date_min]           /// current context min date","Helper measure that calculates the denominator component used in Hypothesis 16 KPI 1 scoring."
"meas.calc_hyp16_kpi1_denominator_count","Returns the measure value from its DAX expression.","var _current = [meas.calc_hyp16_kpi1_nominator]             // get current year count","Helper measure that counts records used in the denominator component of Hypothesis 16 KPI 1 scoring."
"meas.calc_hyp16_kpi1_nominator","Returns a value derived from companies_history[_sys_as_of] and users_history[_sys_user_id].","var fromDate = [meas.context_date_min]           /// current context min date","Helper measure that calculates the numerator component used in Hypothesis 16 KPI 1 scoring."
"meas.calc_hyp16_kpi2_denominator","Returns a value derived from users[trueai_user_role_function] and users_history[col.ci.perf_qtly_performance_tier].","// var res =  CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 16 KPI 2 scoring."
"meas.calc_hyp16_kpi2_denominator_count","Returns the measure value from its DAX expression.","var _current = [meas.calc_hyp16_kpi2_nominator]         // get the current year count","Helper measure that counts records used in the denominator component of Hypothesis 16 KPI 2 scoring."
"meas.calc_hyp16_kpi2_nominator","Returns a value derived from users[trueai_user_role_function] and users_history[col.ci.perf_qtly_performance_tier].","// var res =  CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 16 KPI 2 scoring."
"meas.calc_hyp17_kpi1_denominator","Returns a value derived from ssr_history[step_name] and cal_end_dates[Date].","var res =  CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 17 KPI 1 scoring."
"meas.calc_hyp17_kpi1_denominator_count","Returns a value derived from ssr_history[step_name] and cal_end_dates[Date].","var filter_tbl =  CALCULATETABLE(","Helper measure that counts records used in the denominator component of Hypothesis 17 KPI 1 scoring."
