"measure","current_purpose","expression_sample","replacement_description"
"meas.data_logs_user_mgr_count_eop","","var fromDate =[meas.context_date_min]","Counts data logs user manager count end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.data_logs_user_new_hires_reached_performer_within_12_months","","var fromDate =[meas.context_date_min]","Calculates data logs user new hires reached performer within 12 months for workforce and activity data monitoring. Uses the selected date range context."
"meas.data_logs_user_new_terminations","","var fromDate =[meas.context_date_min]","Calculates data logs user new terminations for workforce and activity data monitoring. Uses the selected date range context."
"meas.data_logs_user_individual_contrib_count_eop","","[meas.data_logs_user_count_eop_for_all_sales_roles]  - [meas.data_logs_user_count_eop_for_mgr]","Counts data logs user individual contrib count end of period."
"meas.data_logs_user_rep_mgr_ratio","","//divide(users_history[meas.data_logs_user_individual_contrib_count_eop] ,users_history[meas.data_logs_user_count_eop_for_mgr])","Calculates data logs user rep manager ratio as a ratio."
"meas.data_logs_user_count_eop","","var fromDate =[meas.context_date_min]","Counts data logs user count end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.data_logs_user_new_terminations_within_12_months","","var fromDate =[meas.context_date_min]","Calculates data logs user new terminations within 12 months for workforce and activity data monitoring. Uses the selected date range context."
"meas.data_logs_ci_perf_tier_count","","var month_instances = CALCULATE(COUNT(users_history[col.ci.perf_qtly_performance_tier]))  // how many months in this perf cat","Counts data logs customer intelligence performance tier count."
"meas.data_logs_user_net_new_users","","[meas.data_logs_user_new_hires] + [meas.data_logs_user_new_terminations]","Calculates data logs user net new users for workforce and activity data monitoring. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_bookings","","var end_date =   [meas.companies_history_reference_date]","Calculates average data logs customer intelligence performance annual average bookings. Calculates peer context values using the selected role. Compares against same period last year where applicable."
"meas.data_logs_user_count_bop","","var fromDate =[meas.context_date_min]","Counts data logs user count beginning of period. Uses the selected date range context."
"meas.data_logs_user_count_change","","divide([meas.data_logs_user_new_hires] , [meas.data_logs_user_count_bop], BLANK())","Counts data logs user count change."
"meas.data_logs_user_new_hires","","var fromDate =[meas.context_date_min]","Calculates data logs user new hires for workforce and activity data monitoring. Uses the selected date range context."
"meas.data_logs_user_new_terminations_within_12_months_avg_tenure","","var fromDate =[meas.context_date_min]","Calculates average data logs user new terminations within 12 months average tenure. Uses the selected date range context."
"meas.data_logs_user_new_hires_reached_performer_success_rate","","var tot_new_hires  = [meas.data_logs_user_new_hires]","Calculates data logs user new hires reached performer success rate for workforce and activity data monitoring."
"meas.data_logs_user_new_terminations_within_12_months_failure_rate","","divide( -1 * [meas.data_logs_user_new_terminations_within_12_months],  [meas.data_logs_user_new_hires] , BLANK())","Calculates data logs user new terminations within 12 months failure rate for workforce and activity data monitoring."
"meas.data_logs_user_new_hires_reached_performer_within_12_months_avg_tenure","","VAR fromDate = [meas.context_date_min]","Calculates average data logs user new hires reached performer within 12 months average tenure. Uses the selected date range context. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_pipeline_created","","var end_date =   [meas.companies_history_reference_date]","Calculates average data logs customer intelligence performance annual average pipeline created. Calculates peer context values using the selected role. Compares against same period last year where applicable."
"meas.users_history_ramping_reps_count_eop","","var fromDate =[meas.context_date_min]","Counts users history ramping reps count end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context. Filters to users marked with ramping status."
"meas.user_history_period_count","","CALCULATE(DISTINCTCOUNT(users_history[_sys_filt_start_date]))","Counts user history period count."
"meas.users_history_vi_value_received_all_prior_time","","var max_date = CALCULATE(max(cal_end_dates[Date]))","Calculates users history vi value received all prior time."
"meas.user_history_user_new_hires_reached_perf_in_12_month","","var fromDate =[meas.context_date_min]","Calculates user history user new hires reached performance in 12 month for user lifecycle monitoring. Uses the selected date range context."
"meas.user_history_user_new_hires_didnt_reach_perf_in_12_month","","var fromDate =[meas.context_date_min]","Calculates user history user new hires didnt reach performance in 12 month for user lifecycle monitoring. Uses the selected date range context."
"meas.user_history_user_new_hires_terminated_in_12_month","","var fromDate =[meas.context_date_min]","Calculates user history user new hires terminated in 12 month for user lifecycle monitoring. Uses the selected date range context. Calculates peer context values using the selected role."
"meas.users_history_ci_perf_avg_attainment","","var tbl_reps = SUMMARIZE(CALCULATETABLE(users_history,users_history[ci_perf_qtly_avg_bookings_peers] > 1 ), users_history[_sys_user_id],  ""rep_sum"",  sum(users_history[col.ci.perf_qtly_bookings_user]), ""peer_sum"",  sum(users_history[ci_perf_qtly_avg_bookings_peers]))","Calculates average users history customer intelligence performance average attainment. Calculates peer context values using the selected role."
"meas.data_logs_user_count_eop_for_ae","","CALCULATE(","Counts data logs user count end of period for ae. Filters to user role function 'AE'. Filters to department 'SALES'."
"meas.data_logs_user_count_eop_for_am","","CALCULATE(","Counts data logs user count end of period for am. Filters to user role function 'AM'. Filters to department 'SALES'."
"meas.data_logs_user_count_eop_for_sdr","","CALCULATE(","Counts data logs user count end of period for sdr. Filters to user role function 'SDR'. Filters to department 'SALES'."
"meas.data_logs_user_count_eop_for_all_sales_roles","","CALCULATE(","Counts data logs user count end of period for all sales roles. Filters to department 'SALES'."
"meas.data_logs_user_count_eop_for_mgr","","CALCULATE(","Counts data logs user count end of period for manager. Filters to user role function 'MGMT'. Filters to department 'SALES'."
"meas.data_logs_user_count_eop_for_other","","CALCULATE(","Counts data logs user count end of period for other. Filters to user role function 'OTHER ROLES'. Filters to department 'SALES'."
"meas.data_logs_user_count_eop_for_dept_mkt","","CALCULATE(","Counts data logs user count end of period for dept mkt."
"meas.data_logs_user_count_eop_for_dept_sales","","CALCULATE(","Counts data logs user count end of period for dept sales."
"meas.data_logs_user_count_eop_for_dept_other","","CALCULATE(","Counts data logs user count end of period for dept other."
